,feature,importance
0,chem(AND),299.2
1,chem(OR),420.6
2,chem(L-AND),165.2
3,chem(R-AND),151.8
4,chem(OR-AND),157.8
5,chem(R-L),165.6
6,crop(AND),133.0
7,crop(OR),183.39999999999998
8,crop(L-AND),97.6
9,crop(R-AND),92.80000000000001
10,crop(OR-AND),108.0
11,crop(R-L),173.60000000000002
12,pest(AND),255.6
13,pest(OR),214.20000000000005
14,pest(L-AND),190.8
15,pest(R-AND),92.2
16,pest(OR-AND),103.39999999999998
17,pest(R-L),155.8
18,TOTAL(AND),413.2
19,TOTAL(OR),307.0
20,TOTAL(L-AND),321.6
21,TOTAL(R-AND),170.6
22,TOTAL(OR-AND),171.40000000000003
23,TOTAL(R-L),216.6
